state,rep,dem,total,winner,state_po,state_fips,dem96,rep96,total96,winner96,,,,,,,,,,,,,,,,,,,
Alabama,"941,173","692,611","1,666,272",Republican,AL,1,"662,165","769,044","1,534,349",Republican,,,,,,,,,,,,,,,,,,,
Alaska,"167,398","79,004","285,560",Republican,AK,2,"80,380","122,746","241,620",Republican,,,,,,,,,,,,,,,,,,,
Arizona,"781,652","685,341","1,532,016",Republican,AZ,4,"653,288","622,073","1,404,405",Democrat,,,,,,,,,,,,,,,,,,,
Arkansas,"472,940","422,768","921,781",Republican,AR,5,"475,171","325,416","884,262",Democrat,,,,,,,,,,,,,,,,,,,
California,"4,567,429","5,861,203","10,965,856",Democrat,CA,6,"5,119,835","3,828,380","10,019,484",Democrat,,,,,,,,,,,,,,,,,,,
Colorado,"883,748","738,227","1,741,368",Republican,CO,8,"671,152","691,848","1,510,704",Republican,,,,,,,,,,,,,,,,,,,
Connecticut,"561,094","816,015","1,459,525",Democrat,CT,9,"735,740","483,109","1,392,614",Democrat,,,,,,,,,,,,,,,,,,,
Delaware,"137,288","180,068","327,622",Democrat,DE,10,"140,355","99,062","270,845",Democrat,,,,,,,,,,,,,,,,,,,
District of Columbia,"18,073","171,923","201,894",Democrat,DC,11,"158,220","17,339","185,726",Democrat,,,,,,,,,,,,,,,,,,,
Florida,"2,912,790","2,912,235","5,963,110",Republican,FL,12,"2,546,870","2,244,536","5,303,794",Democrat,,,,,,,,,,,,,,,,,,,
Georgia,"1,419,720","1,116,230","2,596,804",Republican,GA,13,"1,053,849","1,080,843","2,299,071",Republican,,,,,,,,,,,,,,,,,,,
Hawaii,"137,845","205,286","367,951",Democrat,HI,15,"205,012","113,943","360,120",Democrat,,,,,,,,,,,,,,,,,,,
Idaho,"336,937","138,637","501,621",Republican,ID,16,"165,443","256,595","491,719",Democrat,,,,,,,,,,,,,,,,,,,
Illinois,"2,019,421","2,589,026","4,742,123",Democrat,IL,17,"2,341,744","1,587,021","4,311,391",Democrat,,,,,,,,,,,,,,,,,,,
Indiana,"1,245,836","901,980","2,199,302",Republican,IN,18,"887,424","1,006,693","2,135,842",Republican,,,,,,,,,,,,,,,,,,,
Iowa,"634,373","638,517","1,315,563",Democrat,IA,19,"620,258","492,644","1,234,075",Democrat,,,,,,,,,,,,,,,,,,,
Kansas,"622,332","399,276","1,072,218",Republican,KS,20,"387,659","583,245","1,074,300",Republican,,,,,,,,,,,,,,,,,,,
Kentucky,"872,492","638,898","1,544,187",Republican,KY,21,"636,614","623,283","1,388,708",Democrat,,,,,,,,,,,,,,,,,,,
Louisiana,"927,871","792,344","1,765,656",Republican,LA,22,"927,837","712,586","1,783,959",Democrat,,,,,,,,,,,,,,,,,,,
Maine,"286,616","319,951","651,817",Democrat,ME,23,"312,788","186,378","605,897",Democrat,,,,,,,,,,,,,,,,,,,
Maryland,"813,797","1,145,782","2,025,480",Democrat,MD,24,"966,207","681,530","1,780,870",Democrat,,,,,,,,,,,,,,,,,,,
Massachusetts,"878,502","1,616,487","2,702,984",Democrat,MA,25,"1,571,763","718,107","2,556,785",Democrat,,,,,,,,,,,,,,,,,,,
Michigan,"1,953,139","2,170,418","4,232,501",Democrat,MI,26,"1,989,653","1,481,212","3,848,844",Democrat,,,,,,,,,,,,,,,,,,,
Minnesota,"1,109,659","1,168,266","2,428,685",Democrat,MN,27,"1,120,438","766,476","2,192,640",Democrat,,,,,,,,,,,,,,,,,,,
Mississippi,"572,844","404,614","994,184",Republican,MS,28,"394,022","439,838","893,857",Republican,,,,,,,,,,,,,,,,,,,
Missouri,"1,189,924","1,111,138","2,359,892",Republican,MO,29,"1,025,935","890,016","2,158,065",Democrat,,,,,,,,,,,,,,,,,,,
Montana,"240,178","137,126","410,997",Republican,MT,30,"167,922","179,652","407,261",Republican,,,,,,,,,,,,,,,,,,,
Nebraska,"433,862","231,780","697,019",Republican,NE,31,"236,761","363,467","677,415",Republican,,,,,,,,,,,,,,,,,,,
Nevada,"301,575","279,978","608,970",Republican,NV,32,"203,976","199,244","464,279",Democrat,,,,,,,,,,,,,,,,,,,
New Hampshire,"273,559","266,348","569,081",Republican,NH,33,"246,214","196,532","499,175",Democrat,,,,,,,,,,,,,,,,,,,
New Jersey,"1,284,173","1,788,850","3,187,226",Democrat,NJ,34,"1,652,329","1,103,078","3,075,807",Democrat,,,,,,,,,,,,,,,,,,,
New Mexico,"286,417","286,783","598,605",Democrat,NM,35,"273,495","232,751","556,074",Democrat,,,,,,,,,,,,,,,,,,,
New York,"2,403,374","4,107,697","6,821,999",Democrat,NY,36,"3,756,177","1,933,492","6,316,129",Democrat,,,,,,,,,,,,,,,,,,,
North Carolina,"1,631,163","1,257,692","2,911,262",Republican,NC,37,"1,107,849","1,225,938","2,515,807",Republican,,,,,,,,,,,,,,,,,,,
North Dakota,"174,852","95,284","288,256",Republican,ND,38,"106,905","125,050","266,411",Republican,,,,,,,,,,,,,,,,,,,
Ohio,"2,351,209","2,186,190","4,705,457",Republican,OH,39,"2,148,222","1,859,883","4,534,434",Democrat,,,,,,,,,,,,,,,,,,,
Oklahoma,"744,337","474,276","1,234,229",Republican,OK,40,"488,105","582,315","1,206,713",Republican,,,,,,,,,,,,,,,,,,,
Oregon,"713,577","720,342","1,533,968",Democrat,OR,41,"649,641","538,152","1,377,760",Democrat,,,,,,,,,,,,,,,,,,,
Pennsylvania,"2,281,127","2,485,967","4,913,119",Democrat,PA,42,"2,215,819","1,801,169","4,506,118",Democrat,,,,,,,,,,,,,,,,,,,
Rhode Island,"130,555","249,508","409,113",Democrat,RI,44,"233,050","104,683","390,284",Democrat,,,,,,,,,,,,,,,,,,,
South Carolina,"785,937","565,561","1,382,717",Republican,SC,45,"504,051","573,458","1,149,457",Republican,,,,,,,,,,,,,,,,,,,
South Dakota,"190,700","118,804","316,269",Republican,SD,46,"139,333","150,543","323,862",Republican,,,,,,,,,,,,,,,,,,,
Tennessee,"1,061,949","981,720","2,076,181",Republican,TN,47,"909,146","863,530","1,894,105",Democrat,,,,,,,,,,,,,,,,,,,
Texas,"3,799,639","2,433,746","6,407,637",Republican,TX,48,"2,459,683","2,736,167","5,611,644",Republican,,,,,,,,,,,,,,,,,,,
Utah,"515,096","203,053","770,754",Republican,UT,49,"221,633","361,911","665,629",Republican,,,,,,,,,,,,,,,,,,,
Vermont,"119,775","149,022","294,308",Democrat,VT,50,"137,894","80,352","258,449",Democrat,,,,,,,,,,,,,,,,,,,
Virginia,"1,437,490","1,247,652","2,739,447",Republican,VA,51,"1,091,060","1,138,350","2,416,642",Republican,,,,,,,,,,,,,,,,,,,
Washington,"1,108,864","1,247,652","2,487,433",Democrat,WA,53,"1,123,323","840,712","2,253,837",Democrat,,,,,,,,,,,,,,,,,,,
West Virginia,"336,475","295,497","648,124",Republican,WV,54,"327,812","233,946","636,459",Democrat,,,,,,,,,,,,,,,,,,,
Wisconsin,"1,237,279","1,242,987","2,598,607",Democrat,WI,55,"1,071,971","845,029","2,196,169",Democrat,,,,,,,,,,,,,,,,,,,
Wyoming,"147,947","60,481","218,351",Republican,WY,56,"77,934","105,388","221,571",Republican,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,